Unnamed: 0,publishedAt,title,source,sentiment_score,Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sentiment_score_normalized
0,2025-01-28,Remember When Nanotech Was the Next Big Thing?,"{'id': None, 'name': 'Gizmodo.com'}",4,AAPL,2025-01-28,230.8500061035156,240.19000244140625,230.80999755859375,238.2599945068359,75707600,0.0,0.0,0.4
1,2024-12-30,The US stock market will close on January 9 in remembrance of Jimmy Carter,"{'id': 'business-insider', 'name': 'Business Insider'}",5,AAPL,2024-12-30,252.22999572753903,253.5,250.75,252.1999969482422,35557500,0.0,0.0,0.5
2,2025-01-22,"Jamie Dimon sounds the alarm on stocks, says the market is looking 'kind of inflated'","{'id': 'business-insider', 'name': 'Business Insider'}",3,AAPL,2025-01-22,219.7899932861328,224.1199951171875,219.7899932861328,223.8300018310547,64126500,0.0,0.0,0.3
3,2025-01-27,Intel's former CEO says the market is getting DeepSeek wrong after AI chip stock rout,"{'id': 'business-insider', 'name': 'Business Insider'}",5,AAPL,2025-01-27,224.02000427246097,232.1499938964844,223.97999572753903,229.86000061035156,94863400,0.0,0.0,0.5
4,2024-12-30,'Due for a full-blown correction': Why one CIO expects a 15% stock-market pullback early in 2025 — and how to prepare,"{'id': 'business-insider', 'name': 'Business Insider'}",2,AAPL,2024-12-30,252.22999572753903,253.5,250.75,252.1999969482422,35557500,0.0,0.0,0.2
5,2025-01-23,"Walmart's multi-store managers can now make up to $620,000","{'id': 'business-insider', 'name': 'Business Insider'}",8,AAPL,2025-01-23,224.7400054931641,227.02999877929688,222.3000030517578,223.66000366210935,60234800,0.0,0.0,0.8
6,2025-01-03,"Watch the NVIDIA CES 2025 press conference live: Monday, 9:30PM ET","{'id': None, 'name': 'Yahoo Entertainment'}",5,AAPL,2025-01-03,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40244100,0.0,0.0,0.5
7,2025-01-08,"Dow Jones Futures: Stock Market Sells Off As Nvidia, Palantir Tumble; What To Do Now","{'id': None, 'name': ""Investor's Business Daily""}",2,AAPL,2025-01-08,241.9199981689453,243.7100067138672,240.0500030517578,242.6999969482422,37628900,0.0,0.0,0.2
8,2025-01-27,U.S. stock markets tumble as investors worry about DeepSeek,"{'id': None, 'name': 'NPR'}",2,AAPL,2025-01-27,224.02000427246097,232.1499938964844,223.97999572753903,229.86000061035156,94863400,0.0,0.0,0.2
9,2025-01-29,Tech stocks stage partial recovery after market rout sparked by DeepSeek's rise,"{'id': 'business-insider', 'name': 'Business Insider'}",5,AAPL,2025-01-29,234.1199951171875,239.86000061035156,234.0099945068359,239.36000061035156,45375500,0.0,0.0,0.5
10,2025-01-21,Apple's China problems keep weighing on the stock,"{'id': 'business-insider', 'name': 'Business Insider'}",2,AAPL,2025-01-21,224.0,224.4199981689453,219.3800048828125,222.63999938964844,98070400,0.0,0.0,0.2
11,2025-01-27,"Stock market today: Nasdaq clobbered, S&P 500 tumbles as AI fears rock Nvidia, tech stocks","{'id': None, 'name': 'Yahoo Entertainment'}",2,AAPL,2025-01-27,224.02000427246097,232.1499938964844,223.97999572753903,229.86000061035156,94863400,0.0,0.0,0.2
12,2025-01-14,Worried About a Stock Market Crash? Here's What Warren Buffett Has to Say About It.,"{'id': None, 'name': 'Yahoo Entertainment'}",5,AAPL,2025-01-14,234.75,236.1199951171875,232.47000122070312,233.27999877929688,39435300,0.0,0.0,0.5
13,2025-01-10,"Stock market today: Dow, S&P 500, Nasdaq sink as jobs report blows past expectations","{'id': None, 'name': 'Yahoo Entertainment'}",4,AAPL,2025-01-10,240.0099945068359,240.16000366210935,233.0,236.8500061035156,61710900,0.0,0.0,0.4
14,2024-12-31,Dow Jones Futures: Stock Market Ends 2024 On Weak Note; Tesla Deliveries Due,"{'id': None, 'name': ""Investor's Business Daily""}",5,AAPL,2024-12-31,252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453,39480700,0.0,0.0,0.5
15,2025-01-10,"Stock market today: Dow, S&P 500, Nasdaq sell off amid jobs report surprise, inflation worries","{'id': None, 'name': 'Yahoo Entertainment'}",2,AAPL,2025-01-10,240.0099945068359,240.16000366210935,233.0,236.8500061035156,61710900,0.0,0.0,0.2
