symbol,open_price,close_price,high_price,low_price,volume
MMM,133.8300018310547,131.2100067138672,133.89999389648438,130.63999938964844,3292087
AOS,67.87999725341797,67.58000183105469,68.86499786376953,67.20500183105469,1098056
ABT,113.7699966430664,112.30999755859375,113.76000213623047,111.79000091552734,3790318
ABBV,176.86000061035156,175.1699981689453,177.5399932861328,173.3300018310547,3989606
ACN,355.0299987792969,349.7900085449219,357.989990234375,348.739990234375,1755633
ADBE,411.1549987792969,405.9200134277344,413.1000061035156,405.3548889160156,5537532
AMD,118.18000030517578,116.04000091552734,118.70999908447266,114.45010375976562,58720609
AES,12.300000190734863,12.020000457763672,12.300000190734863,11.954999923706055,13871790
AFL,102.36000061035156,100.98999786376953,102.69999694824219,100.23500061035156,1411914
A,134.75,137.47000122070312,140.0,134.70899963378906,1069430
APD,293.7200012207031,293.0799865722656,295.2200012207031,290.0,1942951
ABNB,131.10499572753906,129.6300048828125,133.0500030517578,128.8000030517578,4160207
AKAM,92.63999938964844,88.93000030517578,92.63999938964844,88.83000183105469,2429095
ALB,85.69999694824219,86.52999877929688,87.37999725341797,84.91000366210938,1409303
ARE,96.0,94.98999786376953,96.55609893798828,94.56999969482422,1777354
ALGN,211.0,212.1199951171875,215.0,208.00999450683594,744750
ALLE,127.12000274658203,126.20999908447266,128.0,126.02999877929688,561411
LNT,57.83000183105469,56.65999984741211,57.93000030517578,56.63999938964844,1317157
ALL,188.6199951171875,180.99000549316406,190.75,176.5,4267179
GOOGL,194.14500427246094,192.0399932861328,196.50999450683594,190.30999755859375,25712962
GOOG,195.41000366210938,193.1699981689453,197.6199951171875,191.60000610351562,18566759
MO,51.150001525878906,50.869998931884766,51.73500061035156,50.54999923706055,9462657
AMZN,221.4600067138672,218.94000244140625,221.7100067138672,216.5,35978215
AMCR,9.470000267028809,9.40999984741211,9.54580020904541,9.399999618530273,14120875
AEE,88.69000244140625,88.04000091552734,89.18000030517578,87.90499877929688,1089281
AEP,93.1500015258789,93.51000213623047,94.66999816894531,92.66999816894531,7517469
AXP,300.42999267578125,293.29998779296875,301.31500244140625,293.1600036621094,2097980
AIG,69.23999786376953,70.5,70.72000122070312,69.23999786376953,6763286
AMT,173.55999755859375,173.4600067138672,176.52000427246094,172.52999877929688,2952196
AWK,121.75,121.12000274658203,122.83000183105469,120.91999816894531,1064438
AMP,528.3200073242188,515.47998046875,528.489990234375,514.4000244140625,289938
AME,176.24000549316406,176.14999389648438,177.7100067138672,175.36000061035156,1368622
AMGN,260.7900085449219,262.2300109863281,264.7900085449219,260.54998779296875,2685459
APH,70.87000274658203,70.19999694824219,71.0,69.7699966430664,3213688
ADI,218.88999938964844,212.3699951171875,219.3699951171875,211.7899932861328,4035420
ANSS,341.95001220703125,337.80999755859375,342.1000061035156,336.2799987792969,436184
AON,348.260009765625,349.510009765625,353.239990234375,346.07000732421875,692240
APA,24.25,23.68000030517578,24.469999313354492,23.6299991607666,5591570
APO,160.0,155.38999938964844,160.0,154.5800018310547,4491703
AAPL,240.02499389648438,236.85000610351562,240.14999389648438,233.0,58293813
AMAT,174.08999633789062,171.64999389648438,174.5399932861328,169.51499938964844,6250170
APTV,60.0,59.349998474121094,60.40999984741211,58.88999938964844,3578565
ACGL,91.04000091552734,90.16999816894531,92.0,89.9000015258789,2807330
ADM,49.689998626708984,51.09000015258789,51.5,49.621299743652344,4463346
ANET,115.25,114.33999633789062,116.08000183105469,112.6500015258789,5341695
AJG,285.989990234375,287.010009765625,290.3399963378906,283.6199951171875,2925679
AIZ,202.49000549316406,198.9199981689453,204.0,197.4949951171875,358564
T,21.8799991607666,21.690000534057617,22.040000915527344,21.489999771118164,41365617
ATO,138.32000732421875,137.0399932861328,138.94000244140625,136.77000427246094,513485
ADSK,291.3699951171875,284.9599914550781,292.6050109863281,284.54998779296875,2351669
ADP,290.9800109863281,286.8500061035156,292.8500061035156,286.7149963378906,2250644
AZO,3235.010009765625,3251.320068359375,3288.10009765625,3232.929931640625,130047
AVB,212.0,210.77000427246094,214.56500244140625,210.34500122070312,848896
AVY,185.35000610351562,184.86000061035156,187.00999450683594,184.6999969482422,402351
AXON,572.0,570.0,574.79150390625,562.7100219726562,439104
BKR,44.0,43.2599983215332,44.2400016784668,42.75,6427072
BALL,52.720001220703125,52.0099983215332,53.119998931884766,51.959999084472656,3084229
BAC,46.0,45.11000061035156,46.04999923706055,44.73500061035156,39048804
BAX,29.280000686645508,29.420000076293945,29.5,29.050500869750977,5061755
BDX,232.25,233.6699981689453,236.25,231.64999389648438,2569584
BBY,83.68000030517578,83.2699966430664,84.86000061035156,83.16500091552734,1730136
TECH,73.83999633789062,73.30999755859375,74.9800033569336,73.1050033569336,992120
BIIB,148.8300018310547,148.82000732421875,150.1999969482422,147.69000244140625,1215247
BLK,979.7899780273438,955.6400146484375,982.0499877929688,948.1599731445312,772340
BX,171.6699981689453,164.85000610351562,171.6699981689453,164.75999450683594,4339999
BK,77.4000015258789,75.41999816894531,77.80000305175781,75.38999938964844,2598582
